# name, mass, mass_error_min, mass_error_max, radius, radius_error_min, radius_error_max, orbital_period, orbital_period_err_min, orbital_period_err_max, semi_major_axis, semi_major_axis_error_min, semi_major_axis_error_max, eccentricity, eccentricity_error_min, eccentricity_error_max, angular_distance, inclination, inclination_error_min, inclination_error_max, tzero_tr, tzero_tr_error_min, tzero_tr_error_max, tzero_tr_sec, tzero_tr_sec_error_min, tzero_tr_sec_error_max, lambda_angle, lambda_angle_error_min, lambda_angle_error_max, tzero_vr, tzero_vr_error_min, tzero_vr_error_max, temp_calculated, temp_measured, hot_point_lon, log_g, publication_status, discovered, updated, omega, omega_error_min, omega_error_max, tperi, tperi_error_min, tperi_error_max, detection_type, molecules, star_name, ra, dec, mag_v, mag_i, mag_j, mag_h, mag_k, star_distance, star_metallicity, star_mass, star_radius, star_sp_type, star_age, star_teff
WASP-54 b,0.6,,,1.4,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2011,2012-10-12,,,,,,,detected by transit,,WASP-54,0.0,0.0,,,,,,,,,,,,
WASP-55 b,0.57,0.04,0.04,1.3,0.03,0.03,4.465633,4e-06,4e-06,0.0533,0.0007,0.0007,0.0,,,0.000162,89.2,0.6,0.6,2455737.9396,0.0003,0.0003,,,,,,,,,,,,,,1,2011,2012-04-24,,,,,,,detected by transit,,WASP-55,208.7583333,-17.5036111,11.8,,,,,330.0,-0.2,1.01,1.06,,,5900.0
WASP-56 b,0.6,,,1.2,,,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2011,2012-10-12,,,,,,,detected by transit,,WASP-56,0.0,0.0,,,,,,,,,,,,
WASP-57 b,0.8,,,1.1,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2011,2012-10-12,,,,,,,detected by transit,,WASP-57,0.0,0.0,,,,,,,,,,,,
WASP-58 b,0.89,0.07,0.07,1.37,0.2,0.2,5.01718,1.1e-05,1.1e-05,0.0561,0.002,0.002,0.0,,,,87.4,1.5,1.5,2455183.9335,0.001,0.001,,,,,,,,,,,,,,3,2011,2012-11-07,,,,,,,detected by transit,,WASP-58,274.7,45.1719,11.66,,,,,300.0,-0.45,0.94,1.17,G2V,3.2,5800.0
WASP-59 b,0.7,,,0.9,,,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2011,2011-09-13,,,,,,,detected by transit,,WASP-59,349.625,24.8892,13.0,,,,,125.0,-0.15,0.719,0.613,K5V,0.5,4650.0
WASP-6 b,0.503,0.038,0.019,1.224,0.052,0.052,3.361006,3.5e-06,3.5e-06,0.0421,0.0013,0.0013,0.054,0.015,0.015,0.000137,88.47,0.47,0.47,,,,,,,,,,,,,,,,,3,2008,2012-04-08,1.7,0.22,0.22,,,,detected by transit,,WASP-6,348.1583333,-22.6738889,12.4,,,,,307.0,-0.2,0.888,0.87,G8,11.0,5450.0
WASP-60 b,0.5,,,0.9,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2011,2011-09-13,,,,,,,detected by transit,,WASP-60,356.6667,31.1558,12.18,,,,,400.0,-0.04,1.078,1.14,G1V,3.6,5900.0
WASP-61 b,2.06,0.17,0.17,1.24,0.03,0.03,3.8559,3e-06,3e-06,0.0514,0.0009,0.0009,0.0,,,0.000107,89.35,0.66,0.66,2455859.52825,0.0023,0.0023,,,,,,,,,,,,,,1,2011,2012-04-24,,,,,,,detected by transit,,WASP-61,75.3,-26.0541667,12.5,,,,,480.0,-0.1,1.22,1.36,F7,,6250.0
WASP-62 b,0.57,0.04,0.04,1.39,0.06,0.06,4.411953,3e-06,3e-06,0.0567,0.0007,0.0007,0.0,,,0.000354,88.3,0.6,0.6,2455855.39195,0.00027,0.00027,,,,,,,,,,,,,,1,2011,2012-04-24,,,,,,,detected by transit,,WASP-62,87.1416667,-63.9883333,10.3,,,,,160.0,0.04,1.25,1.28,F7,,6230.0
WASP-63 b,0.38,0.03,0.03,1.43,0.06,0.06,4.37809,6e-06,6e-06,0.0574,0.0007,0.0007,0.0,,,0.001739,87.8,1.3,1.3,2455921.6527,0.0005,0.0005,,,,,,,,,,,,,,1,2011,2013-03-22,,,,,,,detected by transit,,WASP-63,94.3375,-38.3233333,11.2,,,,,330.0,0.08,1.32,1.88,G8,,5550.0
WASP-64 b,1.2,,,0.7,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2011,2011-09-13,,,,,,,detected by transit,,WASP-64,0.0,0.0,,,,,,,,,,,,
WASP-65 b,1.55,0.16,0.16,1.112,0.059,0.059,2.3114243,1.5e-06,1.5e-06,0.0334,0.0017,0.0016,,,,,88.8,0.7,0.8,,,,,,,,,,,,,,,,,3,2011,2013-07-25,,,,,,,detected by transit,,WASP-65,133.325,8.523,11.9,,,,,310.0,-0.07,0.93,,G6,,5600.0
WASP-66 b,2.32,0.13,0.13,1.39,0.09,0.09,4.086052,7e-06,7e-06,0.0546,0.0009,0.0009,0.0,,,0.000144,85.9,0.9,0.9,2455929.0,0.00035,0.00035,,,,,,,,,,,,,,1,2011,2012-04-24,,,,,,,detected by transit,,WASP-66,158.225,-34.9897222,11.6,,,,,380.0,-0.31,1.3,1.75,F4,,6600.0
WASP-67 b,0.42,0.04,0.04,1.4,0.2,0.2,4.61442,1e-05,1e-05,0.0517,0.0008,0.0008,0.0,,,0.00023,85.8,0.4,0.4,2455824.3742,0.0002,0.0002,,,,,,,,,,,,,,1,2011,2012-04-24,,,,,,,detected by transit,,WASP-67,295.7458333,-19.9494444,12.5,,,,,225.0,-0.07,0.87,0.87,kov,,5200.0
WASP-68 b,0.8,,,0.9,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2011,2011-09-13,,,,,,,detected by transit,,WASP-68,0.0,0.0,,,,,,,,,,,,
WASP-69 b,0.3,,,1.0,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2011,2011-09-13,,,,,,,detected by transit,,WASP-69,0.0,0.0,,,,,,,,,,,,
WASP-7 b,0.96,0.13,0.13,1.33,0.093,0.093,4.9546416,3.5e-06,3.5e-06,0.0617,0.0011,0.0011,0.0,,,0.000441,87.03,0.93,0.93,2455446.63493,3e-05,3e-05,,,,,,,,,,,,,,3,2008,2012-09-20,,,,,,,detected by transit,,WASP-7,311.0416667,-39.2252778,9.51,,,,,140.0,0.0,1.276,1.432,F5V,2.4,6400.0
WASP-70 b,0.6,,,0.8,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2011,2011-09-13,,,,,,,detected by transit,,WASP-70,0.0,0.0,,,,,,,,,,,,
WASP-71 b,2.258,0.072,0.072,1.5,0.11,0.11,2.9036747,6.8e-06,6.8e-06,0.04631,0.0006,0.0006,0.0,,,,84.2,1.8,1.8,2455738.84977,0.0007,0.0007,,,,,,,,,,,,,3.36,1,2012,2012-11-14,,,,,,,detected by transit,,WASP-71,29.2625,0.7589,,,,,,200.0,0.15,1.572,2.32,F8,,6050.0
WASP-72 b,1.5461,0.059,0.056,1.27,0.2,0.2,2.2167421,8.1e-06,8.1e-06,0.03708,0.0005,0.0005,,,,,,,,,,,,,,,,,,,,,,,,1,2013,2013-07-17,,,,,,,detected by transit,,WASP-72,41.0417,-30.1692055556,9.6,,,,,,-0.06,1.386,1.98,F7,,6250.0
WASP-73 b,1.88,0.06,0.06,1.16,0.12,0.08,4.08721,0.00022,0.00022,0.05514,0.0006,0.0006,0.0,,,,87.4,1.8,2.4,2456130.746,0.013,0.021,,,,,,,,,,1790.0,,,,1,2013,2014-01-25,,,,,,,detected by transit,,WASP-73,319.950000016,-57.851111096,10.5,,,,,,0.14,1.34,2.07,F9,,6035.0
WASP-75,1.07,0.05,0.05,1.27,0.048,0.048,2.484193,3e-06,3e-06,0.0375,0.0008,0.0007,0.0,,,,82.0,0.2,0.3,,,,,,,,,,,,,,,,,2,2013,2013-07-25,,,,,,,detected by transit,,WASP-75,342.3875,-10.6755,11.45,,,,,260.0,0.07,1.14,,F9,,6100.0
WASP-76 b,0.92,0.03,0.03,1.83,0.06,0.06,1.809886,1e-06,1e-06,0.033,0.0005,0.0005,0.0,,,,88.0,1.6,1.6,2456107.85507,0.00034,0.00034,,,,,,,,,,2190.0,,,,1,2013,2013-10-22,,,,,,,detected by transit,,WASP-76,26.6333,2.7006,9.5,,,,,120.0,0.23,1.46,1.73,F7,,6250.0
WASP-77A b,1.76,0.06,0.06,1.21,0.02,0.02,1.3600309,2e-06,2e-06,0.024,0.00036,0.00036,,,,,89.4,0.4,0.7,2455870.44977,0.00014,0.00014,,,,,,,,,,,,,3.441,2,2012,2012-11-27,,,,,,,detected by transit,,WASP-77A,37.1542,-7.0606,11.29,,,,,,0.0,1.002,0.955,G8V,1.0,5500.0
WASP-78 b,1.16,0.1,0.1,1.75,0.04,0.04,2.17517656,4.8e-06,4.8e-06,0.0415,0.0006,0.0006,0.0,,,7.5e-05,89.0,0.7,0.7,2455882.35904,0.00058,0.00058,,,,,,,,,,,,,,2,2012,2012-06-07,,,,,,,detected by transit,,WASP-78,63.7583333,-22.1163889,12.0,,,,,550.0,-0.35,2.02,2.31,F8,,6100.0
WASP-79 b,0.9,0.09,0.09,1.7,0.11,0.11,3.6623817,5.1e-06,5.1e-06,0.0539,0.0009,0.0009,0.0,,,0.000151,85.4,0.6,0.6,2455545.23479,0.00125,0.00125,,,,,,,,,,,,,,2,2012,2013-06-05,,,,,,,detected by transit,,WASP-79,66.3708333,-30.6005556,10.1,,,,,240.0,0.03,1.56,1.64,F3,,6600.0
WASP-8 b,2.244,0.093,0.079,1.038,0.007,0.007,8.158715,1.5e-05,1.5e-05,0.0801,0.0016,0.0016,0.31,0.0024,0.0024,0.000921,88.55,0.17,0.17,4679.33394,0.00043,0.00043,,,,,,,,,,,,,,2,2008,2012-08-24,-85.73,0.18,0.18,,,,detected by transit,,WASP-8,359.9,-35.0313889,9.9,,,,,87.0,0.17,1.033,0.953,G6,4.0,5600.0
WASP-80 b,0.554,0.03,0.039,0.952,0.027,0.027,3.0678504,2.7e-06,2.7e-06,0.0346,0.0008,0.0011,0.07,0.0,0.07,,89.92,0.07,0.12,2456125.41751,6.7e-05,5.2e-05,,,,,,,,,,,,,,1,2013,2013-01-29,,,,,,,detected by transit,,WASP-80,303.1667,-2.1456,11.88,,,,,60.0,-0.14,0.58,0.63,K7V,,4145.0
WASP-82 b,1.24,0.04,0.04,1.67,0.07,0.07,2.705782,3e-06,3e-06,0.0447,0.0007,0.0007,0.0,,,,87.9,1.4,1.9,2456157.9898,0.0005,0.0005,,,,,,,,,,2190.0,,,,1,2013,2013-10-22,,,,,,,detected by transit,,WASP-82,72.6625,1.8939,10.1,,,,,200.0,0.12,1.63,2.18,F5,,6490.0
WASP-84 b,0.694,0.028,0.028,0.942,0.022,0.022,8.5234865,7e-06,7e-06,0.0771,0.0012,0.0012,0.0,,,,88.368,0.05,0.05,2456286.10583,9e-05,9e-05,,,,,,,,,,797.0,,,,1,2013,2013-10-22,,,,,,,detected by transit,,WASP-84,131.1083,1.8433,,,,,,120.0,0.0,0.842,0.748,K0,1.0,5314.0
WASP-88 b,0.57,0.08,0.08,1.72,0.21,0.16,4.954,1.9e-05,1.9e-05,0.06432,0.00088,0.00088,0.0,,,,88.0,1.5,1.5,2456474.73145,0.00089,0.00089,,,,,,,,,,1775.0,,,,1,2013,2013-12-11,,,,,,,detected by transit,,WASP-88,309.512500001,-47.538055537,10.4,,,,,,-0.008,1.45,2.08,F6,,6431.0
WASP-90 b,0.63,0.07,0.07,1.63,0.09,0.09,3.916243,3e-06,3e-06,0.0562,0.0012,0.0012,0.0,,,,82.1,0.04,0.04,2456235.5639,0.0005,0.0005,,,,,,,,,,1840.0,,,,1,2013,2013-10-22,,,,,,,detected by transit,,WASP-90,315.5333,7.0567,11.7,,,,,340.0,0.11,1.55,1.98,F6,,6430.0
WASP-95 b,1.13,0.1,0.04,1.21,0.06,0.06,2.184673,1.4e-06,1.4e-06,0.03416,0.00083,0.00083,0.0,,,,88.4,1.2,2.1,2456338.45851,0.00024,0.00024,,,,,,,,,,1570.0,,,,1,2013,2013-10-22,,,,,,,detected by transit,,WASP-95,337.4583,-48.0031,10.1,,,,,,0.14,1.11,1.13,G2,2.4,5630.0
